OBJECT_ID,VEHS,QUEUEDELAY,SPEEDAVGARITH,QLEN,QLENMAX
1,45,64.00222222222163,18.18809124912047,49.68063226052656,121.49580222300125
2,83,27.896385542168872,31.124220367985416,33.938268357924386,130.86374084215439
3,30,8.530000000000033,25.75907068072212,3.313100565415231,27.89366439860413
4,22,6.281818181818213,27.47201445399058,1.8174117954412452,15.666772983058081
