,Before,Before,Before,Before,Before,After,After,After,After,After,Diff,Diff,Diff,Diff,Diff,%Change,%Change,%Change,%Change,%Change
,VEHS,QUEUEDELAY,SPEEDAVGARITH,QLEN,QLENMAX,VEHS,QUEUEDELAY,SPEEDAVGARITH,QLEN,QLENMAX,VEHS,QUEUEDELAY,SPEEDAVGARITH,QLEN,QLENMAX,VEHS,QUEUEDELAY,SPEEDAVGARITH,QLEN,QLENMAX
OBJECT_ID,,,,,,,,,,,,,,,,,,,,
1,51.0,111.04901960784088,19.257074288050504,82.22541063122397,162.2865701986686,61.0,17.17540983606568,23.50461407371821,14.193752011012732,66.11489396818791,10.0,-93.8736097717752,4.247539785667705,-68.03165862021123,-96.1716762304807,19.607843137254903,-84.53348809677111,22.057035882669933,-82.73799802025816,-59.26040344111585
2,80.0,21.20375000000012,27.67597060835676,27.770870910814164,105.40919734070016,88.0,21.030681818181925,29.919848579712003,28.70314817164124,116.54925332956256,8.0,-0.17306818181819494,2.243877971355243,0.9322772608270746,11.1400559888624,10.0,-0.8162149705509355,8.107675799734025,3.3570328558332667,10.56839087091791
3,30.0,14.440000000000078,22.247353055679756,5.548245091590651,28.76799589941203,30.0,30.100000000000133,16.79341199114921,11.35014168340334,44.93842037454374,0.0,15.660000000000055,-5.453941064530547,5.801896591812689,16.17042447513171,0.0,108.44875346260368,-24.515011070668262,104.57174288508797,56.20977050911707
4,20.0,7.030000000000021,20.836237695083486,2.593323023544087,23.49449685581908,20.0,14.720000000000102,17.542761566836074,4.5917837713512615,22.65484393774432,0.0,7.690000000000081,-3.2934761282474128,1.9984607478071745,-0.8396529180747585,0.0,109.388335704126,-15.806481844006514,77.06177478330633,-3.573828046744464
