,Before,Before,Before,Before,Before,After,After,After,After,After,Diff,Diff,Diff,Diff,Diff,%Change,%Change,%Change,%Change,%Change
,VEHS,QUEUEDELAY,SPEEDAVGARITH,QLEN,QLENMAX,VEHS,QUEUEDELAY,SPEEDAVGARITH,QLEN,QLENMAX,VEHS,QUEUEDELAY,SPEEDAVGARITH,QLEN,QLENMAX,VEHS,QUEUEDELAY,SPEEDAVGARITH,QLEN,QLENMAX
OBJECT_ID,,,,,,,,,,,,,,,,,,,,
1,51.0,111.04901960784088,19.257074288050504,82.22541063122397,162.2865701986686,45.0,64.00222222222163,18.18809124912047,49.68063226052656,121.49580222300123,-6.0,-47.04679738561924,-1.0689830389300354,-32.54477837069741,-40.79076797566738,-11.76470588235294,-42.36579264883253,-5.551118632768459,-39.57995237829676,-25.135023758116258
2,80.0,21.20375000000012,27.67597060835676,27.770870910814164,105.40919734070016,83.0,27.896385542168872,31.124220367985416,33.938268357924386,130.8637408421544,3.0,6.692635542168752,3.4482497596286557,6.167397447110222,25.454543501454253,3.75,31.56345241841049,12.459363425496111,22.208152804846303,24.148313566207047
3,30.0,14.440000000000078,22.247353055679756,5.548245091590651,28.76799589941203,30.0,8.530000000000033,25.75907068072212,3.313100565415231,27.89366439860413,0.0,-5.9100000000000446,3.5117176250423654,-2.23514452617542,-0.874331500807898,0.0,-40.92797783933527,15.784878390941087,-40.285612644675304,-3.0392506445878906
4,20.0,7.030000000000021,20.836237695083486,2.593323023544087,23.49449685581908,22.0,6.281818181818213,27.47201445399058,1.8174117954412448,15.66677298305808,2.0,-0.7481818181818074,6.635776758907095,-0.7759112281028422,-7.827723872761,10.0,-10.642700116384143,31.847288632500444,-29.919575041695595,-33.31726540388645
