,Before,Before,Before,Before,Before,After,After,After,After,After,Diff,Diff,Diff,Diff,Diff,%Change,%Change,%Change,%Change,%Change
,VEHS,QUEUEDELAY,SPEEDAVGARITH,QLEN,QLENMAX,VEHS,QUEUEDELAY,SPEEDAVGARITH,QLEN,QLENMAX,VEHS,QUEUEDELAY,SPEEDAVGARITH,QLEN,QLENMAX,VEHS,QUEUEDELAY,SPEEDAVGARITH,QLEN,QLENMAX
OBJECT_ID,,,,,,,,,,,,,,,,,,,,
1,51.0,111.04901960784088,19.257074288050504,82.22541063122397,162.2865701986686,51.0,111.04901960784088,19.257074288050504,82.22541063122397,162.2865701986686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,80.0,21.20375000000012,27.67597060835676,27.770870910814164,105.40919734070016,80.0,21.20375000000012,27.67597060835676,27.770870910814164,105.40919734070016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,30.0,14.440000000000078,22.247353055679756,5.548245091590651,28.76799589941203,30.0,14.440000000000078,22.247353055679756,5.548245091590651,28.76799589941203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,20.0,7.030000000000021,20.836237695083486,2.593323023544087,23.49449685581908,20.0,7.030000000000021,20.836237695083486,2.593323023544087,23.49449685581908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
